SectorIndex,PositionInsideSectorDeg,CenteredErrorDeg,SectorMeanTemplateDeg
31,3,0.8191045555555556,0.8394306666666667
31,4,0.9973845555555556,0.9366220555555557
31,5,0.3585945555555556,0.3131273333333333
31,6,-0.5520554444444444,-0.7039157222222222
31,7,-0.7541354444444444,-0.9209021111111111
31,8,-0.5788454444444444,-0.7681193333333334
31,9,-0.42705544444444443,-0.5551168333333334
32,0,-0.03038544444444441,-0.1069235
32,1,0.4590545555555556,0.35630150000000005
32,2,0.7232145555555556,0.6094959444444444
32,3,0.9849945555555556,0.8394306666666667
32,4,1.0443845555555555,0.9366220555555557
32,5,0.42329455555555556,0.3131273333333333
32,6,-0.5894654444444445,-0.7039157222222222
32,7,-0.7077554444444445,-0.9209021111111111
32,8,-0.5699954444444444,-0.7681193333333334
32,9,-0.32737544444444444,-0.5551168333333334
33,0,0.14252455555555554,-0.1069235
33,1,0.5545145555555555,0.35630150000000005
33,2,0.8055545555555556,0.6094959444444444
33,3,1.0795445555555556,0.8394306666666667
33,4,1.2675245555555557,0.9366220555555557
33,5,0.7893845555555556,0.3131273333333333
33,6,-0.29600544444444443,-0.7039157222222222
33,7,-0.6578854444444444,-0.9209021111111111
33,8,-0.5336754444444445,-0.7681193333333334
33,9,-0.42424544444444445,-0.5551168333333334
34,0,-0.027635444444444435,-0.1069235
34,1,0.4690645555555556,0.35630150000000005
34,2,0.7381145555555555,0.6094959444444444
34,3,0.9455645555555555,0.8394306666666667
34,4,0.9248145555555556,0.9366220555555557
34,5,0.09364455555555556,0.3131273333333333
34,6,-0.8790754444444444,-0.7039157222222222
34,7,-0.8955554444444445,-0.9209021111111111
34,8,-0.6852254444444443,-0.7681193333333334
34,9,-0.4254054444444444,-0.5551168333333334
35,0,0.08070455555555556,-0.1069235
35,1,0.5056245555555555,0.35630150000000005
35,2,0.7589845555555556,0.6094959444444444
35,3,0.9903645555555556,0.8394306666666667
35,4,1.1228745555555557,0.9366220555555557
35,5,0.5823445555555555,0.3131273333333333
35,6,-0.40416544444444447,-0.7039157222222222
35,7,-0.6157154444444444,-0.9209021111111111
35,8,-0.46788544444444446,-0.7681193333333334
35,9,-0.2704954444444444,-0.5551168333333334
