SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
40,P05,B0-B p05 jig 1 test 23 lần 1.txt,41,40,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8546875554289284,0.00021755542892842872,61437.0,22168.01818181818,0.010986328125,2.0,-0.01296,3.13,0.85447,0.72764,0.05053572222222222,-0.0015080000000002869,3.1284919999999996,0.7279137776737409,0.000273777673740927,3.50061,3.5043,1.750305
41,P05,B0-B p05 jig 1 test 23 lần 1.txt,42,41,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8542096625524732,0.00018966255247321318,61436.0,22167.01818181818,-0.02197265625,-4.0,0.02275,3.13,0.85402,0.72864,0.016307083333333337,-0.0011060000000000514,3.128894,0.7286758629040714,3.586290407142645e-05,3.50317,3.50215,1.751585
42,P05,B0-B p05 jig 1 test 23 lần 1.txt,43,42,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8534212746487794,-0.00031872535122068335,61441.0,22172.01818181818,-0.0164794921875,-3.0,0.00961,3.14,0.85374,0.72757,0.012856722222222223,0.004693999999999754,3.144694,0.7274668966090718,-0.00010310339092822751,3.51065,3.51005,1.755325
43,P05,B0-B p05 jig 1 test 23 lần 1.txt,44,43,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8528138285787197,-7.61714212803577e-05,61444.0,22175.01818181818,0.0384521484375,7.0,-0.03399,3.16,0.85289,0.73124,0.06867780555555555,0.0015719999999994627,3.1615719999999996,0.7313119246394841,7.19246394841333e-05,3.53586,3.5364,1.76793
44,P05,B0-B p05 jig 1 test 23 lần 1.txt,45,44,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8510918576312201,0.00043185763122011167,61437.0,22168.01818181818,-0.010986328125,-2.0,-0.01021,3.19,0.85066,0.72945,0.005598361111111108,-0.0009739999999998084,3.189026,0.7296899104447135,0.0002399104447134981,3.5763,3.57777,1.78815
45,P06,B0-B p06 jig 1 test 23 lần 1.txt,46,45,0,PRECONDITION,0,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8337340343368618,5.403433686179682e-05,64414.0,25145.01818181818,0.1812744140625,33.0,-0.22041,,0.83368,0.73808,-0.004620611111111113,,3.0248299999999997,0.7383084151059727,0.00022841510597271242,3.0955500000000002,3.09111,1.5477750000000001
46,P06,B0-B p06 jig 1 test 23 lần 1.txt,47,46,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.827008738040471,6.873804047102805e-05,64396.0,25127.01818181818,0.15380859375,28.0,-0.13536,3.05,0.82694,0.73297,-0.09408727777777778,-0.004361999999999533,3.0456380000000003,0.7328299924875183,-0.00014000751248166576,3.2067300000000003,3.20732,1.6033650000000002
47,P06,B0-B p06 jig 1 test 23 lần 1.txt,48,47,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8209333642620719,9.336426207184889e-05,64404.0,25135.01818181818,0.1812744140625,33.0,-0.16128,3.01,0.82084,0.7291,-0.05664319444444444,-0.0011979999999995883,3.008802,0.7292027816123472,0.00010278161234722472,3.20599,3.20063,1.602995
48,P06,B0-B p06 jig 1 test 23 lần 1.txt,49,48,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8215684361852412,8.436185241267324e-06,64403.0,25134.01818181818,0.1373291015625,25.0,-0.17621,3.01,0.82156,0.72995,-0.09977477777777778,0.0023860000000004433,3.0123860000000002,0.7299613989006204,1.1398900620407382e-05,3.2200699999999998,3.21041,1.6100349999999999
49,P06,B0-B p06 jig 1 test 23 lần 1.txt,50,49,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8217174439457537,0.00010744394575379346,64401.0,25132.01818181818,0.1593017578125,29.0,-0.11089,3.04,0.82161,0.73166,-0.11421988888888888,0.00013199999999979894,3.040132,0.7316701725158898,1.0172515889861344e-05,3.24073,3.23599,1.620365
