motor,config,n_config,n_baseline,effective_weight,max_order,rmse_deg,r2,aicc,bic,max_abs_residual_deg,top10pct_residual_energy_fraction
P08,path1,3,10,2.3076923076923075,18,0.027848335261122684,0.9674747072519121,-2495.574185242622,-2360.521255333625,0.10553536991653495,0.5012534900418851
P08,path2_new,2,10,1.6666666666666667,1,0.08434214283978311,0.29674678516087116,-1774.4015934255074,-1762.810697061494,0.22680253802694766,0.40117649156514273
P08,path2_new,2,10,1.6666666666666667,2,0.06578856232045689,0.5721187494653039,-1949.173190562186,-1929.912161930359,0.22677531699514647,0.48357645049549425
P08,path2_new,2,10,1.6666666666666667,3,0.05397714484908496,0.7119669774123987,-2087.5019053750475,-2060.6173589730784,0.21333518947069036,0.4969827944810959
P08,path2_new,2,10,1.6666666666666667,4,0.04863303427227014,0.7661780932009471,-2158.3713425243895,-2123.910691955624,0.18253908201791805,0.4985397514103176
P08,path2_new,2,10,1.6666666666666667,5,0.04824694635663029,0.7698758872282978,-2159.865752935029,-2117.8772292787326,0.17606208304374366,0.48608812159754683
P08,path2_new,2,10,1.6666666666666667,6,0.04712467230059051,0.7804572241154197,-2172.5181595702825,-2123.0508302828175,0.17466963992852907,0.48888532402745466
P08,path2_new,2,10,1.6666666666666667,12,0.037616480376706514,0.860112541291224,-2307.9331564724193,-2214.672771255028,0.1508864977965319,0.4926136294501763
P08,path2_new,2,10,1.6666666666666667,18,0.035820473656434634,0.8731515650685532,-2314.3167553676253,-2179.263825458628,0.1276831317543756,0.5068392953052929
P08,path2_old,3,10,2.3076923076923075,1,0.25593519546208743,0.19063079096455393,-975.1709109475362,-963.5800145835228,0.4715168231121773,0.28203823904064557
P08,path2_old,3,10,2.3076923076923075,2,0.0662932219136788,0.9456968646046582,-1943.6711953037207,-1924.4101666718936,0.1578858132768049,0.36795638868930963
P08,path2_old,3,10,2.3076923076923075,3,0.05129767100410088,0.9674851355060206,-2124.1609658854823,-2097.276419483513,0.14818795455986505,0.3774894024970017
P08,path2_old,3,10,2.3076923076923075,4,0.04554200829170479,0.9743722187299831,-2205.652200547815,-2171.1915499790493,0.14401249135472388,0.4116458951262523
P08,path2_old,3,10,2.3076923076923075,5,0.04528062592790277,0.9746655490984787,-2205.552114924745,-2163.563591268449,0.14177527746803134,0.42130054165181535
P08,path2_old,3,10,2.3076923076923075,6,0.04411735380207204,0.9759505270587707,-2219.9974627304614,-2170.5301334429964,0.13217855483661856,0.3935859548101408
P08,path2_old,3,10,2.3076923076923075,12,0.03052319433750399,0.9884881103952666,-2458.3810427253607,-2365.120657507969,0.08607914617358114,0.42263754228090855
P08,path2_old,3,10,2.3076923076923075,18,0.028181047255968674,0.9901870201057349,-2487.023120023715,-2351.9701901147178,0.09553865559681907,0.4574812405105196
