File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,31,30,OFFICIAL,0.299027336141558,0.25841971058862,0.851837087476654,0.303367526945935,0.351038174479288
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,32,31,OFFICIAL,0.296021430053485,0.253826707623148,0.852788735303025,0.297643129083964,0.347121646662346
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,33,32,OFFICIAL,0.288685709464188,0.247543066268228,0.851997584507811,0.290544328727447,0.338833952951824
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,34,33,OFFICIAL,0.296257167407547,0.25045801458266,0.854374045048938,0.293147967256326,0.346753473053571
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,35,34,PRECONDITION,0.446333200097285,0.259856037905307,0.875233073374122,0.296899244110523,0.509959248199591
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,36,35,OFFICIAL,0.309692801030081,0.198670683478274,0.859273014709565,0.2312078699986,0.360412576362307
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,37,36,OFFICIAL,0.318404734218158,0.228319578335874,0.85637144928198,0.266612786457684,0.371806807063831
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,38,37,OFFICIAL,0.303914900466778,0.22468223053834,0.854364621716017,0.262981664768678,0.355720371305117
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,39,38,OFFICIAL,0.318126536511136,0.228585823123141,0.854780692498087,0.267420433251834,0.372173282928765
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,40,39,OFFICIAL,0.315817533378955,0.214013167897404,0.851957453239845,0.251201708587148,0.370696367732867
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,41,40,OFFICIAL,0.31998236347541,0.206754878695905,0.854687555428928,0.241906972182536,0.374385190755265
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,42,41,OFFICIAL,0.321825075488824,0.209907028376776,0.854209662552474,0.245732444362138,0.376751855659388
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,43,42,OFFICIAL,0.320833679142175,0.210959479264571,0.85342127464878,0.247192665019266,0.375938224968919
