Point,remount01_MeanAbsPositionErrorRaw_Primary,remount01_MeanAbsPositionErrorDeg_Primary,remount01_MeanAbsPositionErrorRaw_Sensitivity,remount01_SensitivitySweepCount,remount02_MeanAbsPositionErrorRaw_Primary,remount02_MeanAbsPositionErrorDeg_Primary,remount02_MeanAbsPositionErrorRaw_Sensitivity,remount02_SensitivitySweepCount,remount03_MeanAbsPositionErrorRaw_Primary,remount03_MeanAbsPositionErrorDeg_Primary,remount03_MeanAbsPositionErrorRaw_Sensitivity,remount03_SensitivitySweepCount
26,201.000000,1.104125977,201.000000,3,202.333333,1.111450195,202.333333,3,191.500000,1.051940918,191.333333,3
27,241.000000,1.323852539,241.000000,3,246.000000,1.351318359,246.000000,3,232.500000,1.277160645,239.666667,3
28,205.333333,1.127929688,205.333333,3,210.666667,1.157226562,210.666667,3,200.500000,1.101379395,199.000000,3
29,164.000000,0.900878906,164.000000,3,170.333333,0.935668945,170.333333,3,156.000000,0.856933594,152.666667,3
30,89.000000,0.488891602,89.000000,3,88.000000,0.483398438,88.000000,3,76.000000,0.417480469,74.333333,3
31,9.000000,0.049438477,9.000000,3,12.000000,0.065917969,12.000000,3,3.500000,0.019226074,3.666667,3
32,32.666667,0.179443359,32.666667,3,33.000000,0.181274414,33.000000,3,46.500000,0.255432129,47.000000,3
33,47.000000,0.258178711,47.000000,3,46.666667,0.256347656,46.666667,3,54.500000,0.299377441,56.666667,3
34,13.000000,0.071411133,13.000000,3,17.666667,0.097045898,17.666667,3,34.000000,0.186767578,31.666667,3
35,149.666667,0.822143555,149.666667,3,149.000000,0.818481445,149.000000,3,132.000000,0.725097656,134.000000,3
36,257.000000,1.411743164,257.000000,3,247.000000,1.356811523,247.000000,3,230.000000,1.263427734,228.666667,3
37,258.000000,1.417236328,258.000000,3,251.000000,1.378784180,251.000000,3,229.500000,1.260681152,228.666667,3
38,217.000000,1.192016602,217.000000,3,208.333333,1.144409180,208.333333,3,192.000000,1.054687500,195.666667,3
39,169.000000,0.928344727,169.000000,3,157.000000,0.862426758,157.000000,3,143.000000,0.785522461,140.666667,3
40,91.000000,0.499877930,91.000000,3,84.333333,0.463256836,84.333333,3,66.500000,0.365295410,67.000000,3
