MechanicalAngleDeg,MeasuredErrorDeg,H36FitDeg,ElectricalFamilyFitDeg,Extended12OrderFitDeg,ElectricalFamilyResidualDeg
157.0,-1.50134,-1.2003419349965745,-1.3425927081685871,-1.5154407218018098,-0.15874729183141278
158.0,-1.36856,-1.2983621821117475,-1.152106136328065,-1.2893618824203283,-0.2164538636719351
159.0,-1.16003,-1.0518538133143043,-0.9487279472771714,-1.0718970336876203,-0.21130205272282854
160.0,-0.74258,-0.5549746469735701,-0.5176483553675114,-0.6462499835563366,-0.2249316446324886
161.0,-0.20651,0.002484363670005929,-0.02212601952533433,-0.16255574939947076,-0.18438398047466567
162.0,0.07001,0.4075928238854587,0.20094156960918474,0.058672418020033715,-0.13093156960918473
163.0,0.31601,0.5056130710006357,0.4423076414497181,0.318007563830626,-0.1262976414497181
164.0,0.39377,0.25910470220319115,0.5561471638339442,0.4670161655458066,-0.16237716383394424
165.0,-0.12491,-0.23777446413754408,-0.11073374425640767,-0.16087856001047454,-0.014176255743592325
166.0,-1.28445,-0.7952334747811082,-1.0692070195253263,-1.092454904372751,-0.21524298047467383
167.0,-1.36255,-1.2003419349965712,-1.342592708168586,-1.3594957924240538,-0.019957291831413926
168.0,-1.14572,-1.2983621821117466,-1.1521061363280607,-1.1785328579676624,0.006386136328060621
169.0,-0.90735,-1.0518538133143092,-0.9487279472771759,-0.9848253437996555,0.04137794727717592
170.0,-0.42261,-0.5549746469735767,-0.5176483553675162,-0.5457161950269617,0.0950383553675162
171.0,-0.02393,0.002484363670000045,-0.022126019525338256,-0.015174628339088655,-0.001803980474661744
172.0,0.18341,0.4075928238854677,0.2009415696091989,0.2643363373165147,-0.01753156960919891
173.0,0.41675,0.5056130710006366,0.44230764144971557,0.5649530842112432,-0.025557641449715562
174.0,0.57568,0.2591047022031958,0.5561471638339479,0.7181917180122417,0.01953283616605206
175.0,0.31061,-0.2377744641375375,-0.11073374425639745,0.055373378072271044,0.4213437442563974
176.0,-0.90186,-0.7952334747811255,-1.069207019525349,-0.9354829051955348,0.16734701952534892
177.0,-1.42169,-1.200341934996568,-1.3425927081685853,-1.2651042804137016,-0.07909729183141456
178.0,-1.24268,-1.2983621821117473,-1.1521061363280676,-1.1362729245860383,-0.09057386367193243
179.0,-1.06635,-1.0518538133142958,-0.9487279472771611,-0.9859708242309076,-0.11762205272283877
180.0,-0.71405,-0.5549746469735833,-0.5176483553675211,-0.5964874307487035,-0.1964016446324789
181.0,-0.22705,0.002484363669993883,-0.022126019525342516,-0.13859434729706666,-0.20492398047465749
182.0,0.01025,0.4075928238854646,0.20094156960918846,0.04019968845973908,-0.19069156960918845
183.0,0.23041,0.505613071000634,0.4423076414497208,0.22618880261125113,-0.21189764144972079
184.0,0.26184,0.2591047022032005,0.5561471638339517,0.280573470614586,-0.29430716383395167
185.0,-0.58411,-0.23777446413754363,-0.1107337442564052,-0.4334200549363505,-0.4733762557435948
186.0,-1.59052,-0.7952334747811194,-1.0692070195253411,-1.409397967632096,-0.5213129804746588
187.0,-1.63007,-1.2003419349965772,-1.3425927081685844,-1.6626668372729356,-0.28747729183141546
188.0,-1.42334,-1.2983621821117464,-1.1521061363280636,-1.4213351094812756,-0.27123386367193647
189.0,-1.15765,-1.0518538133143005,-0.9487279472771655,-1.1558508940895098,-0.2089220527228346
190.0,-0.64899,-0.5549746469735644,-0.5176483553675107,-0.6741586488582751,-0.1313416446324892
