"Batch","Product","RunOrder","TestID","SweepID","NL_RobustP2P","MeanDC","RMS_AC","A1","A2","A3","A6","A9","A12","A18","A27","A36","A45","A72","A108","Residual_RMS_H6","Residual_RMS_H36","Residual_RMS_Full","Residual_RMS_Extended","Fitted_P2P","Fitted_P2P_Extended","FitExplainedRatio","FitExplainedRatio_Extended","Motor_Error_P2P_Deg","Motor_System_INL_Deg","CrestFactor","P99_AbsDeviation","TrackingError_RMS_Deg","TrackingError_MaxAbs_Deg","ClosureErrorDeg","AbsClosureErrorDeg","ShadowP2P","BackoffFeedforwardTargetErrorRaw","ForwardFeedforwardTargetErrorRaw","BackoffTargetErrorRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","ApproachObservedDeltaRaw","AbsApproachReturnErrorRaw","AnalysisStartRaw","MaxAbsSettlePositionErrorDeg","MotorActiveDurationMs","TimeSincePreviousRunMs"
"P05","P05","8","43","42","3.144694","0.0129","0.7275","0.3208","0.211","0.0713","0.0562","0.2948","0.0207","0.102","0.0648","0.8534","0.078","0.1707","0.1059","0.7264","0.4063","0.6678","0.1141","1.2186","3.5663","0.1573","0.9754","3.5107","1.7553","2.5154","1.6155","0.7236","1.8677","0.00961","0.00961","3.51005","4","-7","4","-7","-3","-178","175","3","61441","NaN","26009","120095"
"P05","P05","9","44","43","3.161572","0.0687","0.7313","0.3382","0.211","0.0655","0.0537","0.2992","0.0221","0.1021","0.0638","0.8528","0.081","0.1676","0.1045","0.7303","0.4137","0.6681","0.1145","1.2451","3.5969","0.1654","0.9755","3.5359","1.7679","2.5034","1.6148","0.7314","1.8951","-0.03399","0.03399","3.5364","11","-4","11","-4","7","-171","178","7","61444","NaN","26228","120098"
"P05","P05","10","45","44","3.189026","0.0056","0.7297","0.3338","0.2144","0.0692","0.0569","0.2999","0.0244","0.0984","0.0638","0.8511","0.0796","0.1682","0.103","0.7286","0.4126","0.6668","0.1132","1.2453","3.5949","0.165","0.9759","3.5763","1.7881","2.5778","1.6536","0.7254","1.8622","-0.01021","0.01021","3.57777","11","-13","11","-13","-2","-171","169","2","61437","NaN","26349","120096"
"P06_R1","P06","1","47","46","3.045638","-0.0941","0.7328","0.2493","0.1155","0.0201","0.0172","0.0712","0.0769","0.4504","0.0137","0.827","0.0292","0.1474","0.0844","0.7327","0.4417","0.6281","0.1873","1.587","3.1066","0.2653","0.9347","3.2067","1.6034","2.4437","1.6216","0.7419","1.7029","-0.13536","0.13536","3.20732","15","13","15","13","28","-167","195","28","64396","NaN","24383","120106"
"P06_R1","P06","2","48","47","3.008802","-0.0566","0.7292","0.2392","0.1103","0.0221","0.0141","0.0712","0.0767","0.4572","0.0129","0.8209","0.0328","0.1456","0.0795","0.7291","0.4413","0.6239","0.1881","1.5741","3.0941","0.2679","0.9335","3.206","1.603","2.4359","1.6348","0.7346","1.7139","-0.16128","0.16128","3.20063","19","14","19","14","33","-163","196","33","64404","NaN","24343","120096"
"P06_R1","P06","3","49","48","3.012386","-0.0998","0.73","0.2415","0.1181","0.0256","0.0179","0.0683","0.0765","0.4562","0.0128","0.8216","0.029","0.1441","0.0799","0.7299","0.442","0.6239","0.1881","1.5908","3.0997","0.2695","0.9336","3.2201","1.61","2.4707","1.6202","0.7378","1.6974","-0.17621","0.17621","3.21041","14","11","14","11","25","-168","193","25","64403","NaN","24881","120095"
"P06_R1","P06","4","50","49","3.040132","-0.1142","0.7317","0.2555","0.1166","0.0185","0.0217","0.0701","0.0736","0.4536","0.0163","0.8217","0.0331","0.1454","0.0818","0.7315","0.4447","0.6244","0.1877","1.6071","3.1093","0.2717","0.9342","3.2407","1.6204","2.484","1.6486","0.7434","1.7084","-0.11089","0.11089","3.23599","17","12","17","12","29","-165","194","29","64401","NaN","24315","120094"
"P06_R1","P06","5","51","50","3.056374","-0.1224","0.7302","0.253","0.1141","0.017","0.0143","0.0705","0.0758","0.456","0.0137","0.82","0.0306","0.1436","0.0798","0.7302","0.4439","0.6226","0.1867","1.6051","3.1158","0.273","0.9346","3.2386","1.6193","2.483","1.6448","0.7419","1.6974","-0.14591","0.14591","3.23333","19","4","19","4","23","-163","186","23","64401","NaN","24259","120095"
"P06_R1","P06","6","52","51","3.02549","-0.1173","0.7294","0.2489","0.1182","0.0182","0.0179","0.0692","0.0761","0.4539","0.014","0.8201","0.0299","0.1431","0.0807","0.7293","0.4425","0.6228","0.1874","1.6015","3.1154","0.271","0.934","3.2423","1.6211","2.4647","1.6283","0.7403","1.6919","-0.16016","0.16016","3.2444","15","12","15","12","27","-167","194","27","64400","NaN","24222","120096"
"P06_R1","P06","7","53","52","3.03315","-0.1104","0.73","0.2458","0.1166","0.0209","0.0218","0.0689","0.0772","0.4555","0.0126","0.8212","0.0301","0.1441","0.0787","0.7298","0.4424","0.6235","0.1873","1.6085","3.111","0.2706","0.9342","3.2409","1.6204","2.4653","1.6324","0.7398","1.7139","-0.13287","0.13287","3.24122","18","12","18","12","30","-164","194","30","64402","NaN","24695","120094"
