MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
Residual_RMS_H6,FitExplainedRatio_Extended,80,0.0920677741285676,0.416650473524855,0.295386437605581,0.00781236787366887,8,4,4,0.132440066905753,0.295386437605581
Residual_RMS_H6,P99_AbsDeviation,80,0.268355857061868,0.016093132753089,0.295224004474266,0.0078479679349627,8,8,0,0.257744871370915,0.295224004474266
Motor_System_INL_Deg,MotorActiveDurationMs,80,0.173082756298247,0.124698499257411,0.29149415092167,0.00870558285283137,8,7,1,0.244681044268699,0.29149415092167
Motor_Error_P2P_Deg,MotorActiveDurationMs,80,0.172655978451591,0.125644954506683,0.291078511105273,0.00880605874875706,8,7,1,0.245276275866174,0.291078511105273
A18,AnalysisStartRaw,80,0.21590983445065,0.0544152236030196,0.289621748610229,0.00916627824479728,8,6,2,0.388805925830085,0.289621748610229
A27,A45,80,0.27702727687203,0.0128570045048863,0.286590003573801,0.00995752418980262,8,7,1,0.246753190711529,0.286590003573801
Residual_RMS_Full,ClosureErrorDeg,80,0.23818005629679,0.0333752613221549,0.286499332646104,0.0099820795626929,8,5,3,0.249179536065112,0.286499332646104
A72,P99_AbsDeviation,80,0.122082105365625,0.280680748418943,0.285305484588618,0.0103103625521922,8,7,1,0.370926785739523,0.285305484588618
P99_AbsDeviation,MotorActiveDurationMs,80,0.226537994893594,0.0433129403985914,0.284926466375615,0.0104165363744262,8,4,4,0.116004553501004,0.284926466375615
A12,A45,80,-0.227111690485864,0.0427714689032542,-0.282584316830238,0.0110940430455138,8,4,4,0.0332406189907586,0.282584316830238
Fitted_P2P_Extended,P99_AbsDeviation,80,0.284862149983148,0.0104346475843726,0.282548334980945,0.011104743922212,8,8,0,0.258778286018212,0.282548334980945
A6,Residual_RMS_H36,80,-0.302569312552509,0.00637339107545051,-0.282152502017411,0.011223058021138,8,5,3,-0.183164086887783,0.282152502017411
RMS_AC,FitExplainedRatio_Extended,80,0.0773674930718334,0.495157780895445,0.281488364710539,0.0114240347547924,8,4,4,0.122053261076753,0.281488364710539
MotorActiveDurationMs,TimeSincePreviousRunMs,80,0.0634586766273312,0.576009723655067,0.28111020301946,0.0115398653334289,8,6,2,0.118361188654573,0.28111020301946
A1,P99_AbsDeviation,80,0.330032762302479,0.00279257989560806,0.280881338120216,0.0116104617073027,8,6,2,0.367019856656014,0.280881338120216
Residual_RMS_Full,BackoffFeedforwardTargetErrorRaw,80,0.380786622023221,0.000493040436791257,0.278931887717974,0.0122271811422513,8,5,3,0.309951273212106,0.278931887717974
Residual_RMS_Full,BackoffTargetErrorRaw,80,0.380786622023221,0.000493040436791257,0.278931887717974,0.0122271811422513,8,5,3,0.309951273212106,0.278931887717974
Residual_RMS_Full,BackoffObservedDeltaRaw,80,0.380786622023221,0.000493040436791257,0.278931887717974,0.0122271811422513,8,5,3,0.309951273212106,0.278931887717974
A1,TrackingError_RMS_Deg,80,0.206875421147003,0.0655921735390934,0.278668243372616,0.0123127332898407,8,6,2,0.564837235620834,0.278668243372616
ShadowP2P,MotorActiveDurationMs,80,0.156719019616793,0.165054454949182,0.276775611590533,0.0129422957335652,8,7,1,0.197907129671246,0.276775611590533
FitExplainedRatio,P99_AbsDeviation,80,0.321374102327987,0.00365207120023807,0.276053433349243,0.0131897778366239,8,7,1,0.26104857186322,0.276053433349243
A108,ShadowP2P,80,0.144913919479742,0.199656090063429,0.274575011402346,0.0137092401933325,8,6,2,0.314265503916605,0.274575011402346
A2,FitExplainedRatio_Extended,80,0.0505197741935896,0.65629423630306,0.274556924017123,0.0137157035852699,8,4,4,-0.0318907399937912,0.274556924017123
NL_RobustP2P,MeanDC,80,-0.29312572025591,0.00832081716019365,-0.273152486553596,0.014225694663409,8,7,1,-0.330049172022657,0.273152486553596
A108,Motor_System_INL_Deg,80,0.127909743074182,0.258179054993849,0.270176732126659,0.0153607285617426,8,5,3,0.294803750838208,0.270176732126659
A108,Motor_Error_P2P_Deg,80,0.127215119483547,0.260794788205351,0.269750711542826,0.0155294561458434,8,5,3,0.294117006004319,0.269750711542826
NL_RobustP2P,A9,80,0.212041873160853,0.0589932481713661,0.26942711502551,0.0156586846078552,8,6,2,0.256208969843831,0.26942711502551
A9,Fitted_P2P_Extended,80,0.272400898533766,0.0145052962042796,0.268803791012837,0.0159102255569398,8,6,2,0.131748183852447,0.268803791012837
A2,TimeSincePreviousRunMs,80,-0.174456469887679,0.121689042659938,-0.267822594279812,0.0163132433294901,8,6,2,-0.436500894678849,0.267822594279812
NL_RobustP2P,A36,80,-0.0217920418639977,0.847844782961666,0.267109729343387,0.0166115346923666,8,6,2,0.285822578112462,0.267109729343387
A72,Residual_RMS_H36,80,0.00183128105611611,0.987137304570707,0.266340149348209,0.0169388182935538,8,6,2,0.0895125081212792,0.266340149348209
P99_AbsDeviation,ApproachReturnErrorRaw,80,0.157095709577226,0.16402836096303,0.265309990227034,0.0173855947243455,8,6,2,0.160592286848953,0.265309990227034
A1,CrestFactor,80,0.345904465086989,0.0016734470110823,0.264675759409237,0.0176656678157612,8,6,2,0.336083395969769,0.264675759409237
A27,TrackingError_MaxAbs_Deg,80,-0.240340215607855,0.0317599588576303,-0.26400994705246,0.0179638504146899,8,8,0,-0.24931172198461,0.26400994705246
A45,P99_AbsDeviation,80,0.248024807420636,0.0265363090008964,0.263587279374219,0.0181553760371208,8,5,3,0.282996887892492,0.263587279374219
TrackingError_RMS_Deg,MotorActiveDurationMs,80,-0.311296954290646,0.00494334698773951,-0.263386973021318,0.0182467525629722,8,6,2,-0.212080030811386,0.263386973021318
